rank,driver_id,driver,fan_index_share,raw_votes,raw_vote_share,raw_share_ci_low,raw_share_ci_high,platform_groups,conversations_with_support
1,senna,Ayrton Senna,0.2804,653,0.4001,0.3766,0.4241,3,39
2,michael_schumacher,Michael Schumacher,0.2055,249,0.1526,0.1359,0.1708,3,32
3,fangio,Juan Manuel Fangio,0.1539,266,0.163,0.1459,0.1817,3,24
4,clark,Jim Clark,0.0915,65,0.0398,0.0314,0.0504,3,24
5,hamilton,Lewis Hamilton,0.0888,117,0.0717,0.0602,0.0852,3,31
6,alonso,Fernando Alonso,0.0444,83,0.0509,0.0412,0.0626,3,18
7,gilles_villeneuve,Gilles Villeneuve,0.0286,23,0.0141,0.0094,0.0211,2,12
8,max_verstappen,Max Verstappen,0.0209,21,0.0129,0.0084,0.0196,2,8
9,prost,Alain Prost,0.0158,26,0.0159,0.0109,0.0232,2,13
10,vettel,Sebastian Vettel,0.0158,26,0.0159,0.0109,0.0232,2,13
11,hill,Graham Hill,0.0093,4,0.0025,0.001,0.0063,2,4
12,moss,Stirling Moss,0.0089,2,0.0012,0.0003,0.0045,2,2
13,kubica,Robert Kubica,0.0084,2,0.0012,0.0003,0.0045,2,2
14,lauda,Niki Lauda,0.0063,27,0.0165,0.0114,0.024,1,15
15,raikkonen,Kimi Raikkonen,0.0039,17,0.0104,0.0065,0.0166,1,10
16,piquet,Nelson Piquet,0.0037,13,0.008,0.0047,0.0136,1,6
17,mansell,Nigel Mansell,0.0032,9,0.0055,0.0029,0.0104,1,4
18,hakkinen,Mika Hakkinen,0.0032,7,0.0043,0.0021,0.0088,1,5
19,rindt,Jochen Rindt,0.0025,1,0.0006,0.0001,0.0035,1,1
20,surtees,John Surtees,0.0014,3,0.0018,0.0006,0.0054,1,3
21,montoya,Juan Pablo Montoya,0.0008,5,0.0031,0.0013,0.0072,1,5
22,stewart,Jackie Stewart,0.0008,2,0.0012,0.0003,0.0045,1,2
23,brabham,Jack Brabham,0.0007,1,0.0006,0.0001,0.0035,1,1
24,sainz,Carlos Sainz,0.0004,1,0.0006,0.0001,0.0035,1,1
25,perez,Sergio Perez,0.0002,2,0.0012,0.0003,0.0045,1,2
26,ricciardo,Daniel Ricciardo,0.0002,1,0.0006,0.0001,0.0035,1,1
27,russell,George Russell,0.0002,1,0.0006,0.0001,0.0035,1,1
28,villenueve,Jacques Villeneuve,0.0002,1,0.0006,0.0001,0.0035,1,1
29,bellof,Stefan Bellof,0.0002,1,0.0006,0.0001,0.0035,1,1
30,reutemann,Carlos Reutemann,0.0001,1,0.0006,0.0001,0.0035,1,1
31,keke_rosberg,Keke Rosberg,0.0001,1,0.0006,0.0001,0.0035,1,1
32,bottas,Valtteri Bottas,0,1,0.0006,0.0001,0.0035,1,1
